"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
20000 1.28247e+11 8432.7 1.28247e+11 8497.01
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 3.89793e+06 3.89793e+06 3.8979e+06 3.8979e+06
4 2.42128e+06 2.42128e+06 2.42125e+06 2.42125e+06
5 232289 232289 232260 232260
6 90052.7 90052.7 90023.1 90023.1
10 31171 31171 31141.5 31141.5
18 15902.4 15902.4 15872.9 15872.9
269 13090.3 13090.3 13060.7 13060.7
522 1651.59 1651.59 1622.06 1622.06
548 154.824 154.824 125.294 125.294
20000 2.58179e+19 154.824 2.58179e+19 125.294
"function evaluation" "current f(x)" "best-so-far f(x)" "current af(x)+b"  "best af(x)+b"
1 1.25415e+06 1.25415e+06 1.25403e+06 1.25403e+06
13 414847 414847 414735 414735
19 24342.1 24342.1 24229.5 24229.5
29 20.9917 20.9917 -91.5283 -91.5283
20000 6.99158e+50 20.9917 6.99158e+50 -91.5283
